曲名,歌手名,ユーザー,スコア,日付
電車の窓から,back number,まつりく,92.657,2025-08-27 13:46:59
綾,My Hair is Bad,まつりく,93.186,2025-08-27 13:35:56
僕と僕,川崎鷹也,まつりく,95.859,2025-08-27 13:24:05
僕と僕,川崎鷹也,まつりく,96.378,2025-08-27 13:12:48
GONG,WANIMA,まつりく,87.597,2025-08-22 05:22:17
青い春,back number,まつりく,90.168,2025-08-22 04:58:54
あかり,My Hair is Bad,まつりく,88.702,2025-08-22 04:13:14
革命はいつも,My Hair is Bad,まつりく,83.976,2025-08-22 04:05:10
音楽家になりたくて,My Hair is Bad,まつりく,90.48,2025-08-22 03:56:48
微熱,My Hair is Bad,まつりく,90.427,2025-08-22 03:48:56
グッバイ・マイマリー,My Hair is Bad,まつりく,89.479,2025-08-22 03:41:31
一母八花,My Hair is Bad,まつりく,87.15,2025-08-22 03:34:32
クリスマスソング,back number,まつりく,92.876,2025-08-22 03:25:58
次回予告,My Hair is Bad,まつりく,91.49,2025-08-22 03:15:59
味方,My Hair is Bad,まつりく,90.012,2025-08-22 03:06:11
幻,My Hair is Bad,まつりく,93.323,2025-08-22 02:45:32
綾,My Hair is Bad,まつりく,92.431,2025-08-22 02:28:42
君の為のキミノウタ,川崎鷹也,まつりく,93.652,2025-08-22 02:11:38
Friend Ship,星野 源,まつりく,92.495,2025-08-22 02:01:40
fish,back number,まつりく,93.382,2025-08-22 01:50:52
くだらないの中に,星野 源,まつりく,93.945,2025-08-22 01:42:16
くだらないの中に,星野 源,まつりく,93.19,2025-08-22 01:34:59
05410-(ん),RADWIMPS,まつりく,75.324,2025-08-22 01:33:08
くだらないの中に,星野 源,まつりく,91.609,2025-08-22 01:23:01
stay with me,back number,まつりく,93.217,2025-08-22 01:12:15
stay with me,back number,まつりく,93.443,2025-08-22 01:01:53
舌,My Hair is Bad,まつりく,93.13,2025-08-22 00:52:07
電車の窓から,back number,まつりく,94.846,2025-08-22 00:44:08
電車の窓から,back number,まつりく,93.537,2025-08-22 00:34:59
電車の窓から,back number,まつりく,92.592,2025-08-22 00:25:25
電車の窓から,back number,まつりく,93.639,2025-08-22 00:14:36
花束,back number,まつりく,91.886,2025-08-22 00:03:37
幕が上がる,back number,まつりく,93.164,2025-08-21 23:53:33
エンディング,back number,まつりく,93.963,2025-08-21 23:41:49
僕と僕,川崎鷹也,まつりく,95.346,2025-08-21 23:22:35
僕と僕,川崎鷹也,まつりく,94.86,2025-08-21 23:08:44
僕と僕,川崎鷹也,まつりく,93.62,2025-08-21 22:58:02
僕と僕,川崎鷹也,まつりく,96.129,2025-08-21 05:13:42
僕と僕,川崎鷹也,まつりく,96.216,2025-08-21 04:33:33
ピースサイン,米津玄師,まつりく,90.169,2025-08-21 04:22:35
アップルパイ,back number,まつりく,87.529,2025-08-21 04:13:55
セプテンバーさん,RADWIMPS,まつりく,90.968,2025-08-21 03:55:07
正解,RADWIMPS,まつりく,94.707,2025-08-21 03:44:01
おかえり,Tani Yuuki,まつりく,90.442,2025-08-21 03:34:52
冬と春,back number,まつりく,90.154,2025-08-21 03:23:39
恋,星野 源,まつりく,92.186,2025-08-21 03:15:31
虹色の戦争,SEKAI NO OWARI(世界の終わり),まつりく,92.158,2025-08-21 02:53:05
エンディング,back number,まつりく,94.756,2025-08-21 02:41:47
シングルベッド,シャ乱Q,まつりく,93.837,2025-08-21 02:30:13
シングルベッド,シャ乱Q,まつりく,93.65,2025-08-21 02:00:25
シャルル,バルーン,まつりく,90.273,2025-08-21 01:42:59
Family Song,星野 源,まつりく,92.117,2025-08-21 01:31:13
化粧,My Hair is Bad,まつりく,92.809,2025-08-21 01:18:27
ロングホープ・フィリア,菅田将暉,まつりく,94.374,2025-08-21 01:02:32
僕は君の事が好きだけど君は僕を別に好きじゃないみたい,back number,まつりく,94.504,2025-08-21 00:51:59
ひまわりの約束,秦 基博,まつりく,95.053,2025-08-21 00:38:54
感情,wacci,まつりく,96.083,2025-08-21 00:26:58
fish,back number,まつりく,94.407,2025-08-21 00:12:59
元彼女として,My Hair is Bad,まつりく,85.414,2025-08-21 00:07:21
グッバイ・マイマリー,My Hair is Bad,まつりく,87.729,2025-08-20 23:59:36
はなびら,back number,まつりく,92.522,2025-08-20 23:51:03
思い出せなくなるその日まで,back number,まつりく,92.69,2025-08-20 23:40:58
愛着,My Hair is Bad,まつりく,93.26,2025-08-20 23:29:52
僕と僕,川崎鷹也,まつりく,94.526,2025-08-20 23:19:56
Week End,星野 源,まつりく,91.703,2025-08-13 03:58:11
恋だろ,wacci,まつりく,92.968,2025-08-13 03:44:47
恋だろ,wacci,まつりく,93.733,2025-08-13 03:29:34
Friend Ship,星野 源,まつりく,93.458,2025-08-13 03:15:07
さよならエレジー,菅田将暉,まつりく,92.935,2025-08-13 03:01:27
僕と僕,川崎鷹也,まつりく,97.711,2025-08-13 02:46:18
僕と僕,川崎鷹也,まつりく,92.718,2025-08-13 01:19:47
僕と僕,川崎鷹也,まつりく,91.336,2025-08-13 01:03:59
水平線,back number,まつりく,93.91,2025-08-13 00:01:56
僕のこと,Mrs. GREEN APPLE,まつりく,88.138,2025-08-12 23:49:50
舌,My Hair is Bad,まつりく,93.167,2025-08-12 23:40:04
猫,DISH//,まつりく,92.616,2025-08-12 23:21:50
ヤングアダルト,マカロニえんぴつ,まつりく,90.461,2025-08-12 23:11:37
哀しみロック,マカロニえんぴつ,まつりく,93.334,2025-08-12 22:58:34
ライラック,Mrs. GREEN APPLE,まつりく,89.656,2025-08-12 22:45:33
一母八花,My Hair is Bad,まつりく,84.72,2025-08-12 22:28:08
卒業,My Hair is Bad,まつりく,82.396,2025-08-12 22:18:01
青い春,back number,まつりく,87.931,2025-08-12 21:56:51
音楽家になりたくて,My Hair is Bad,まつりく,91.237,2025-08-12 21:44:28
思い出をかけぬけて,My Hair is Bad,まつりく,89.971,2025-08-12 21:36:24
元彼女として,My Hair is Bad,まつりく,85.964,2025-08-12 21:21:53
幻,My Hair is Bad,まつりく,90.2,2025-08-12 21:09:02
真赤,My Hair is Bad,まつりく,89.357,2025-08-12 20:56:50
次回予告,My Hair is Bad,まつりく,91.982,2025-08-12 20:43:24
味方,My Hair is Bad,まつりく,87.523,2025-08-12 20:33:29
自由とヒステリー,My Hair is Bad,まつりく,91.225,2025-08-12 20:20:39
いつか結婚しても,My Hair is Bad,まつりく,91.461,2025-08-12 20:06:28
ヒロイン,back number,まつりく,90.745,2025-08-12 19:52:18
エンディング,back number,まつりく,94.878,2025-08-12 19:36:31
僕と僕,川崎鷹也,まつりく,96.077,2025-08-12 19:16:25
手紙,back number,まつりく,93.401,2025-08-12 19:02:12
stay with me,back number,まつりく,94.261,2025-08-12 18:47:45
fish,back number,まつりく,94.428,2025-08-12 18:36:06
僕と僕,川崎鷹也,まつりく,95.411,2025-08-12 18:20:46
SISTER,back number,まつりく,87.38,2025-08-10 03:33:38
シグナル,WANIMA,まつりく,82.733,2025-08-10 01:47:37
GONG,WANIMA,まつりく,86.85,2025-08-10 01:33:45
真赤,My Hair is Bad,まつりく,89.185,2025-08-10 01:19:32
つながリーヨ(アニメバージョン),T-Pistonz+KMC,まつりく,88.783,2025-08-10 01:04:14
Week End,星野 源,まつりく,91.848,2025-08-10 00:51:13
日曜日,back number,まつりく,87.976,2025-08-10 00:36:38
大不正解,back number,まつりく,88.516,2025-08-10 00:24:34
スーパースターになったら,back number,まつりく,87.111,2025-08-10 00:12:08
思い出せなくなるその日まで,back number,まつりく,92.731,2025-08-09 23:59:25
雨と僕の話,back number,まつりく,92.764,2025-08-09 23:46:20
電車の窓から,back number,まつりく,92.571,2025-08-09 23:31:19
